Faction,Title,Subtitle,Fighting,Power,Body,Requires,Provides,Text,Tag,Artist,Set,Rarity
Ascended,Corporate Informer,Transformed Mole,1,,,1,{asc}{chi},Enters play turned. Turn and target a player :: Look at target’s hand.,Every company has one.,ClickArt Studios,Endgame,Fixed
Ascended,Legal Eagle,Transformed Counselor,1,,,2,{asc}{chi},"When this card enters play, reveal cards from the top of your deck until you reveal a State. You may put that State into your hand; reshuffle your deck afterward.",,ClickArt Studios,Endgame,Fixed
Ascended,Thief in the Night,Sworn Hood,3,,,{asc}3,{asc},"Stealth. When this card is played from your hand, target an opponent :: Steal 1 Power from target.",,Diego Candia,Endgame,Fixed
Ascended,Agent Neil North,Sworn Enigmatic Mastermind,4,,,{asc}{asc}3,{asc},"Unique. When you generate an effect that would take control of an opponent’s card, put an “Agent” Character token into play. It has a printed Fighting of 2, Stealth, and a printed cost of {asc}2. Turn and maintain and target a Character that is not controlled by its owner :: Take control of target.",,Pandu Mahardika,Endgame,Fixed
Ascended,The Rook,Lodge Assassin,3,,,{asc}{asc}5,{asc}{chi},Unique. Assassinate. Tactics. +X Fighting. X = the number of unturned cards you control.,"Silent, lethal, and precise.",Pandu Mahardika,Endgame,Fixed
Ascended,Insurance Policy,State,,,,{asc}{asc}0,,"Not Cumulative. Play on a Site you control. When subject is burned or seized by an opponent, gain 3 Power and smoke this card.","“Wow, you actually got the interdimensional invasion policy.”",ClickArt Studios,Endgame,Fixed
Ascended,Burying the Past,Edge,,,,{asc}{lot}0,,Toast 2 cards from your smoked pile :: Put a “Hood” Character token into play. It has a printed Fighting of 1 and a printed cost of 1. Turn this card and a Hood Character you control :: Draw a card.,,Pandu Mahardika,Endgame,Fixed
Ascended,Entrapment,Cop Edge,,,,{asc}{asc},,Toast It. Play when an attack is declared and you control at least three turned Characters. Reduce to 0 all damage inflicted by attacking Characters until the end of the attack.,"“Illegal? Sure. But oh, so satisfying.”",I Made Marthana Yusa,Endgame,Fixed
Dragons,Hitlist,Hero for Hire,5,,,{dra}{dra}3,{dra},"Unique. Independent. Once per turn, when an opponent declares an attack on another opponent, he or she may give you 1 Power :: Turn this card (if unturned), and it joins the attack.",,Wes Jones,Endgame,Fixed
Dragons,Great Teacher Chow,Inspirational Hero,6,,,{dra}{dra}5,{dra},"Unique. Guts. Toughness: 1. +1 Fighting for each Student you control. When this card turns to attack, put a “Student” Character token into play. It has a printed Fighting of 1 and a printed cost of {dra}1.",,Ikaan Studios,Endgame,Fixed
Dragons,Khofesh,Avenging Golem,5,,,{dra}{dra}4,{dra},"Unique. Independent. Loyal. When a {mag} Character enters play, this card gains +1 Fighting until it leaves play. When an opponent plays an Event, you may give this card -1 Fighting :: This card gains Immunity to that Event.",,Mario Teodosio,Endgame,Fixed
Dragons,"""What Have I Becomes?!""",State,,,,{dra}{dra}0,,"Play during any Main Shot on a Character when it reduces the body of a Site you control to 0. Subject gains the designator Redeemed. At the start of each turn, the player furthest from victory takes control of subject. If two players are equally far from victory, subject’s controller chooses who takes control.",,Diego Candia,Endgame,Fixed
Dragons,Final Showdown,Event,,,,{dra}{dra}0,,"Toast It. Starting with the current player and proceeding clockwise, each player randomly chooses a Unique Character in his or her smoked pile and returns it to play.","When the going gets tough, the tough are probably already there.",Erick Rabang,Endgame,Fixed
Dragons,Fluttering Doves,Ominous Edge,,,,{dra}0,,"Limited. When a Unique Character you control is about to enter combat with an opponent’s card, turn :: Draw a card. If the opponent’s card is Limited or Unique, draw 2 cards and gain 1 Power instead.",,Diego Candia,Endgame,Fixed
