Faction,Title,Subtitle,Fighting,Power,Body,Requires,Provides,Text,Tag,Artist,Set,Rarity
Ascended,Head Hunter,Corporate Hood Assassin,1,,,{asc}1,{asc},"Assassinate. When this card turns to attack, all other Hood Characters you control gain +1 combat damage until the end of the attack.","""It's a cutthroat industry.""",Milton Das,Queen's Gambit,Fixed
Ascended,Chief Inspector Pang,Sworn Cop Mastermind,3,,,{asc}{asc}3,{asc},Unique. Cop and Agent Characters you control gain Toughness: 1 and Tactics.,"""Give a guy a gun, he thinks he's Superman. Give him two and he thinks he's God.""",I Made Marthana Yusa,Queen's Gambit,Fixed
Ascended,Cop on the Take,Sworn Agent,6,,,{asc}4,{asc},"Once per turn, when this card turns to attack or turns to heal, you may turn a card controlled by an opponent. The opponent may not turn that card in response.",,I Made Marthana Yusa,Queen's Gambit,Fixed
Ascended,SWAT Van,Cop State,,,,{asc}{asc}2,,"Vehicle. Play on a Character. Subject gains +2 Fighting and Tactics. When this card enters play, you may play up to 2 Cop or Police cards from your hand or smoked pile at -1 cost each.",Five tons of urban justice.,Diego Candia,Queen's Gambit,Fixed
Ascended,Kickbacks,Edge,,,,{asc}{asc}{asc}0,,"Not Cumulative. When this card enters play, choose an opponent. When that opponent spends 3 or more Power at one time, turn :: Gain 1 Power.",,David Still,Queen's Gambit,Fixed
Ascended,Blood is Thicker than Water,Event,,,,{asc}{asc}0,,"Play when you declare an attack. For each opponent, you may target an unturned Character he or she controls that shares a faction resource with an attacker. Take control of all targets until the end of the attack. All targets turn and join the attack.",,Carlos Cara Alvarez,Queen's Gambit,Fixed
Ascended,Secret Handshake,Event,,,,{asc}{asc}{asc}{asc}2,,"One Shot. Choose one: search your deck for a card, put it in your hand and reshuffle; gain 3 Power; or put 4 ""Sworn"" Character tokens into play. The tokens have a printed Fighting of 1 and a printed cost of s1.",,David Still,Queen's Gambit,Fixed
Dragons,Average Jane,Blue-Collar Hero,2,,,2,{dra}{tec},"Toughness: X. At the beginning of your turn, place a counter on this card. X = the number of counters on this card. X cannot be greater than 3.",,Jason Ballard,Queen's Gambit,Fixed
Dragons,Heaven's Brigade,Reformed Hood Heroes,1,,,{dra}1,{dra},"Once during your Main Shot, if an opponent is closer to victory and this card is in your smoked pile, you may return one ""Heaven's Brigade"" to play.",,Jason Ballard,Queen's Gambit,Fixed
Dragons,Cop on the Beat,Neighborhood Responder,4,,,{dra}{dra}3,{dra},Crisis: {dra}{dra}1. Guts. You may play this card during any Main Shot.,"""My only motivation is to clean up my community.""",Ikaan Studios,Queen's Gambit,Fixed
Dragons,Band of Heroes,Unlikely Team,1,,,{dra}{dra}{dra}4,{dra},"Independent. +2 Fighting for each counter on this card. This card enters play with 3 counters on it. Once per turn, choose one: Sacrifice a Hero Character :: Add a counter to this card; or remove a counter :: Put a ""Hero"" Character token into play with a printed Fighting of 2, Independent, and a printed cost of {dra}2.",,Dion Harris,Queen's Gambit,Fixed
Dragons,Bernie Silverman,Maverick Cop,,,,{dra}{dra}{dra}4,{dra},"Unique. Independent. If all opponents are closer to victory than you, or if an opponent controls a card you own, this card gains Guts and Toughness: 1.",,Ikaan Studios,Queen's Gambit,Fixed
Dragons,Apprenticeship,Edge,,,,{dra}{dra}1,,"When you play a Character, turn :: Put a ""Student"" Character token into play, or 2 if you  played a Hero or Master Character. The tokens have a printed Fighting of 1 and a printed cost of {dra}1.",,I Made Marthana Yusa,Queen's Gambit,Fixed
Dragons,Conspicuous Surveillance,Cop Event,,,,{dra}1,,Play during any Main Shot. Reveal any number of Feng Shui Sites you control :: Play X Characters at -2 cost each. X = the number of Feng Shui Sites revealed.,"""We know everything that they're clearly willing to let us know.""",David Still,Queen's Gambit,Fixed
Lotus,Darkness Assassin,Dark Stone Cultist,1,,,{lot}{mag}1,{lot}{mag},Assassinate. +2 combat damage against Characters.,"""The Dark Stone demands tribute.""",Diego Candia,Queen's Gambit,Fixed
Lotus,Gu Kan,Poison Demon,4,,,{lot}{mag}3,{lot},Regenerate. Corrupt.,"""Sometimes, you eat the poison.""",Josh Hunter,Queen's Gambit,Fixed
Lotus,Big Brother Fo,Hood Sorcerer,8,,,{lot}{lot}{lot}5,{lot}{mag}{mag},"Unique. Guts. Takes no damage from Cop and Police cards. At the end of each turn, remove 1 damage from this card for each Hood card in play.",,Ikaan Studios,Queen's Gambit,Fixed
Lotus,Song of the Assassin,Edge,,,,{asc}{lot}0,,"When a Character with Assassinate turns to attack a Character, the attacker gains Toughness: 1 against Characters and +1 combat damage against Characters until the end of the turn.",,Elisabeth Alba,Queen's Gambit,Fixed
Lotus,Mark of the Underworld,State,,,,{lot}{mag}2,,"You may sacrifice a Demon Character to play this card at -2 cost. Play on a non-Demon Character. Subject gains +2 Fighting, Regenerate, and the designator Demon.","""The marked ones are forver changed.""",Melissa Benson,Queen's Gambit,Fixed
